Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code,Correct_Waste_Per_Capita_kg,Correct_Carbon_Per_Capita_kgCO2e,Correct_Economic_Loss_Per_Capita_USD
Australia,2019,Fruits & Vegetables,19268.63,18686.68,72.69,87.59,53.64,46.82,Oceania,Southern Hemisphere,0.219986642310766,213.34261902043613,19268630.0,0.219986642310766,1,0,0,1,45.0,1268.5751135195585,0.8090169943749413,4100.9638,87.59,213342.61902043613,219.9866423107661,0.9697980603706646,19268.63,18686.68,0.0203824896443614,0.0193666281776797,47.867608174449146,1,4,4,1,AUS,0.21998664231076606,0.21998664231076606,213.34261902043613
Indonesia,2019,Prepared Food,3916.97,4394.48,192.52,1153.99,30.61,6.77,Asia,Southern Hemisphere,0.0033942841792389,3.80807459336736,3916970.0,0.0033942841792389,1,0,0,1,45.5,1268.5751135195585,0.8090169943749413,7812.512299999999,1153.99,3808.07459336736,3.394284179238988,1.1219080054225588,3916.97,4394.48,0.0067388086575894,0.0075647923236865,99.1439927555698,8,7,2,1,IDN,0.0033942841792389883,0.0033942841792389883,3.80807459336736
Germany,2022,Dairy Products,9700.16,8909.16,166.94,1006.11,48.08,17.549999999999997,Europe,Unknown,0.0096412519505819,8.855055610221546,9700160.0,0.0096412519505819,4,1,0,4,191.5,1270.4600691117123,0.3090169943750283,17657.230499999998,4024.44,8855.055610221547,9.641251950581944,0.9184549533203576,9700.16,8909.16,0.0134569778911881,0.0121417106388626,97.76471916589638,6,2,3,2,DEU,0.009641251950581945,0.009641251950581945,8.855055610221546
France,2023,Fruits & Vegetables,46299.69,40551.22,120.19,953.05,31.91,17.549999999999997,Europe,Unknown,0.0485805466659671,42.54889040449085,46299690.0,0.0485805466659671,5,0,1,5,187.5,1271.0883876424302,-0.3090169943748428,16726.027499999997,4765.25,42548.89040449085,48.58054666596716,0.8758421492670901,46299.69,40551.22,0.043356700472696,0.0383976694310105,88.94383442631552,5,4,3,2,FRA,0.04858054666596716,0.04858054666596716,42.54889040449085
France,2023,Beverages,33096.57,36980.82,104.74,1105.47,36.06,17.549999999999997,Europe,Unknown,0.0299389128605932,33.452576732068714,33096570.0,0.0299389128605932,5,0,1,5,187.5,1271.0883876424302,-0.3090169943748428,19400.9985,5527.35,33452.576732068716,29.93891286059323,1.1173611041869294,39698.130000000005,38766.02,0.0309928224608764,0.0350168823933707,92.46329452631008,5,1,3,2,FRA,0.02993891286059323,0.02993891286059323,33.452576732068714
India,2024,Fruits & Vegetables,11962.89,11196.04,136.21,1311.91,37.09,17.549999999999997,Asia,Unknown,0.0091186819217781,8.534152495216897,11962890.0,0.0091186819217781,6,0,1,6,241.5,1271.7167061731484,-0.8090169943750019,23024.0205,7871.460000000001,8534.152495216897,9.118681921778167,0.9358975966509766,11962.89,11196.04,0.0185812354605116,0.0174718277537369,97.86996928142936,7,4,2,2,IND,0.009118681921778171,0.009118681921778171,8.534152495216897
Germany,2024,Prepared Food,45038.72,39191.25,179.27,1349.45,68.93,17.549999999999997,Europe,Unknown,0.033375612286487,29.04238763940865,45038720.0,0.033375612286487,6,0,1,6,268.5,1271.7167061731484,-0.8090169943750019,23682.847499999996,8096.700000000001,29042.387639408647,33.37561228648709,0.8701679355008313,27369.44,24050.205,0.0508976037339651,0.0440684335419686,92.42317551595094,6,7,3,2,DEU,0.03337561228648709,0.03337561228648709,29.04238763940865
China,2019,Fruits & Vegetables,12791.2,12233.28,90.8,1229.29,59.9,21.96,Asia,Northern Hemisphere,0.0104053559371669,9.9515004596149,12791200.0,0.0104053559371669,1,0,0,1,59.0,1268.5751135195585,0.8090169943749413,26995.2084,1229.29,9951.5004596149,10.405355937166984,0.9563825129776722,12791.2,12233.28,0.0176950190317045,0.0161082071734803,97.54810012283512,4,4,2,0,CHN,0.010405355937166983,0.010405355937166983,9.9515004596149
UK,2019,Meat & Seafood,14795.65,14346.97,128.91,450.33,59.01,17.549999999999997,Europe,Unknown,0.0328551284613505,31.85879244109875,14795650.0,0.0328551284613505,1,0,0,1,44.5,1268.5751135195585,0.8090169943749413,7903.291499999998,450.33,31858.79244109875,32.85512846135057,0.9696748706545504,14795.65,14346.97,0.0219497952869102,0.0222251497110252,92.21440277130104,18,6,3,2,GBR,0.032855128461350566,0.032855128461350566,31.85879244109875
India,2019,Grains & Cereals,12118.32,13631.17,141.75,359.26,42.42,5.23,Asia,Northern Hemisphere,0.0337313366364193,37.94235372710572,12118320.0,0.0337313366364193,1,0,0,1,66.0,1268.5751135195585,0.8090169943749413,1878.9298,359.26,37942.35372710572,33.73133663641931,1.1248399118029562,12040.605,12413.605,0.0134623205397192,0.0145818887305902,91.48337749819072,7,5,2,0,IND,0.03373133663641931,0.03373133663641931,37.94235372710572
