feature,importance
Category_Waste_Share,10140444.354932835
Waste_Efficiency,3499737.6560612577
Population (Million),2597827.1243989584
GDP_Per_Capita_Proxy,442412.26717853855
Country_Trend,249091.19718591057
Waste_Trend,226961.07173340124
Population_Material_Interaction,211262.45746846576
Category_Economic_Share,146153.5175949335
Material_Footprint_Per_Capita,119974.52435879454
Year_Population_Interaction,102605.59225664589
Economic_Trend,44576.4321438778
Economic_Intensity,42624.90940120013
Is_Pandemic_Year,36156.7207628481
Year_Cycle_Cos,29345.180768188344
Food Category_Encoded,26121.522366642163
Year_Cycle,10538.018350445907
Years_From_2018,7651.245040190556
Year_Trend,5502.784690192274
Is_Post_Pandemic,3241.45416365649
