Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code
Australia,2019,Fruits & Vegetables,19268.63,18686.68,72.69,87.59,53.64,46.82,Oceania,Southern Hemisphere,72.69,213.34261902043613,48171575.00000001,0.5499666057769153,1,0,0,1,45.0,1268.5751135195585,0.8090169943749413,4100.9638,87.59,213342.61902043613,219.9866423107661,0.9697980603706646,19268.63,18686.68,0.020382489644361408,0.01936662817767977,20.616000000000003,1,4,4,1,AUS
Indonesia,2019,Prepared Food,3916.97,4394.48,192.52,1153.99,30.61,6.77,Asia,Southern Hemisphere,192.52,3.8080745933673597,9792425.0,0.008485710448097471,1,0,0,1,45.5,1268.5751135195585,0.8090169943749413,7812.512299999999,1153.99,3808.0745933673597,3.394284179238988,1.1219080054225588,3916.97,4394.48,0.006738808657589442,0.007564792323686517,56.634801428088636,8,7,2,1,IDN
Germany,2022,Dairy Products,9700.16,8909.16,166.94,1006.11,48.08,17.549999999999997,Europe,Unknown,166.94,8.855055610221546,24250400.0,0.02410312987645486,4,1,0,4,191.5,1270.4600691117123,0.30901699437502833,17657.230499999998,4024.44,8855.055610221547,9.641251950581944,0.9184549533203576,9700.16,8909.16,0.013456977891188172,0.012141710638862607,51.91252049974655,6,2,3,2,DEU
France,2023,Fruits & Vegetables,46299.69,40551.22,120.19,953.05,31.91,17.549999999999997,Europe,Unknown,120.19,42.54889040449085,115749225.0,0.12145136666491789,5,0,1,5,187.5,1271.0883876424302,-0.30901699437484287,16726.027499999997,4765.25,42548.89040449085,48.58054666596716,0.8758421492670901,46299.69,40551.22,0.04335670047269608,0.03839766943101054,30.662251333438263,5,4,3,2,FRA
France,2023,Beverages,33096.57,36980.82,104.74,1105.47,36.06,17.549999999999997,Europe,Unknown,104.74,33.452576732068714,82741425.0,0.07484728215148308,5,0,1,5,187.5,1271.0883876424302,-0.30901699437484287,19400.998499999998,5527.35,33452.576732068716,29.93891286059323,1.1173611041869294,39698.130000000005,38766.020000000004,0.030992822460876496,0.03501688239337074,42.489063855192825,5,1,3,2,FRA
India,2024,Fruits & Vegetables,11962.89,11196.04,136.21,1311.91,37.09,17.549999999999997,Asia,Unknown,136.21,8.534152495216897,29907225.0,0.022796704804445428,6,0,1,6,241.5,1271.7167061731484,-0.8090169943750019,23024.0205,7871.460000000001,8534.152495216897,9.118681921778169,0.9358975966509766,11962.89,11196.04,0.018581235460511644,0.017471827753736933,55.90891667365394,7,4,2,2,IND
Germany,2024,Prepared Food,45038.72,39191.25,179.27,1349.45,68.93,17.549999999999997,Europe,Unknown,179.27,29.04238763940865,112596800.0,0.08343903071621772,6,0,1,6,268.5,1271.7167061731484,-0.8090169943750019,23682.847499999996,8096.700000000001,29042.387639408647,33.37561228648709,0.8701679355008313,27369.440000000002,24050.205,0.05089760373396518,0.04406843354196861,33.21186742747045,6,7,3,2,DEU
China,2019,Fruits & Vegetables,12791.2,12233.28,90.8,1229.29,59.9,21.96,Asia,Northern Hemisphere,90.8,9.9515004596149,31978000.0,0.026013389842917456,1,0,0,1,59.0,1268.5751135195585,0.8090169943749413,26995.2084,1229.29,9951.500459614901,10.405355937166984,0.9563825129776722,12791.2,12233.28,0.017695019031704583,0.016108207173480302,66.76223793138045,4,4,2,0,CHN
UK,2019,Meat & Seafood,14795.65,14346.97,128.91,450.33,59.01,17.549999999999997,Europe,Unknown,128.91,31.85879244109875,36989125.0,0.08213782115337641,1,0,0,1,44.5,1268.5751135195585,0.8090169943749413,7903.291499999998,450.33,31858.79244109875,32.85512846135057,0.9696748706545505,14795.65,14346.97,0.021949795286910236,0.0222251497110252,36.80163639997336,18,6,3,2,GBR
India,2019,Grains & Cereals,12118.32,13631.17,141.75,359.26,42.42,5.23,Asia,Northern Hemisphere,141.75,37.94235372710572,30295800.0,0.08432834159104827,1,0,0,1,66.0,1268.5751135195585,0.8090169943749413,1878.9298000000001,359.26,37942.35372710572,33.73133663641931,1.1248399118029562,12040.605,12413.605,0.01346232053971926,0.014581888730590263,28.68353420920781,7,5,2,0,IND
