Country,ISO3,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Carbon_Footprint_kgCO2e,Population (Million),GDP_Per_Capita_USD,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Per_Capita_kgCO2e,Material_Footprint_Per_Capita,Years_from_2010,Year_Trend,Pandemic_Indicator,Year_Cycle,Year_Cycle_Cos,FAO_Food_Price_Index,Waste_Efficiency,Economic_Intensity,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Sustainability_Score,Waste_Trend_3Y,Economic_Trend_3Y,Category_Waste_Share,Category_Economic_Share,Continent,Subregion,Hemisphere,Income_Group,Year_Norm,Pandemic_Flag,Year_Sin,Year_Cos,Log_Population,Log_GDP_PC,Log_Total_Waste,Log_Econ_Loss,Cat_Waste_Share,Cat_Econ_Share,Carbon_Intensity,Econ_GDP_Ratio,Total Waste (Tons)_MA3,Economic Loss (Million $)_MA3,Carbon_Footprint_kgCO2e_MA3,Pop_MatFP,GDP_Waste_PC,Country_Enc,Food Category_Enc,Continent_Enc,Subregion_Enc,Hemisphere_Enc,Income_Group_Enc
Afghanistan,AFG,2010,Bakery Items,142200.2,374.179,252138578.3,20.519,1077.9,7.08,18.2357,12.288032,5.46,0.0,0.0,0.0,0.0,1.0,1.118,2.6313535424000807,16.917612,112.109,0.0,1.078,92.29,142200.2,374.179,0.1024606960746224,0.0788272991181464,Asia,Southern Asia,Northern,Lower-Middle income,0.0,0,0.0,1.0,3.068936265812407,6.983697282557294,11.864998235134236,5.9274032454164285,0.10246069607462242,0.07882729911814647,1773.123935831314,16.917833505439674,142200.2,374.179,252138578.3,112.03374,49.44457676050565,0,0,2,11,0,2
Afghanistan,AFG,2011,Bakery Items,179084.0,598.322,300240035.5,20.929,1145.8,8.15,28.5876,14.34536,6.37,1.0,1.0,0.0,0.9511,0.309,1.319,3.3410131558374845,24.949461,133.227,20.929,1.146,89.59,160642.1,486.2505,0.1207815989283941,0.1033874517856877,Asia,Southern Asia,Northern,Lower-Middle income,0.07692307692307693,0,0.9510565162951535,0.30901699437494745,3.087809961754899,7.044730734009215,12.095615832447598,6.395799016284773,0.12078159892839412,0.10338745178568776,1676.5318816868062,24.950409392264824,160642.1,486.2505,276189306.9,133.31772999999998,57.4145554821751,0,0,2,11,0,2
Afghanistan,AFG,2012,Bakery Items,171914.2,572.648,316561964.2,21.348,1206.0,7.84,26.8244,14.828643,6.43,2.0,2.0,0.0,0.5878,-0.809,1.257,3.3310104691759026,22.242914,137.22,42.696,1.206,90.02,164399.46666666667,515.0496666666667,0.1123006256960234,0.104497466979123,Asia,Southern Asia,Northern,Lower-Middle income,0.15384615384615385,0,0.5877852522924732,-0.8090169943749473,3.106736831596902,7.095893221097532,12.05475661096385,6.352015967792635,0.11230062569602348,0.10449746697912307,1841.395092435645,22.242481925517005,164399.46666666667,515.0496666666667,289646859.3333333,137.26764,55.63180285340464,0,0,2,11,0,2
Afghanistan,AFG,2013,Bakery Items,178416.6,552.814,320798233.9,21.775,1269.3,8.56,25.3876,14.732433,6.34,3.0,3.0,0.0,-0.5878,-0.809,1.2009999999999998,3.098444875644979,20.001413,138.067,65.325,1.269,90.03,176471.6,574.5946666666666,0.1078120445304497,0.0923128920338897,Asia,Southern Asia,Northern,Lower-Middle income,0.23076923076923078,0,-0.587785252292473,-0.8090169943749475,3.125663443146022,7.147008372029415,12.09188214897051,6.316828890301766,0.10781204453044972,0.09231289203388973,1798.0290729674255,20.001224718362266,176471.6,574.5946666666666,312533411.2,138.05349999999999,61.1783916645718,0,0,2,11,0,2
Afghanistan,AFG,2014,Bakery Items,159506.4,459.458,277258774.8,22.21,1337.8,7.12,20.6866,12.483249,6.72,4.0,4.0,0.0,-0.9511,0.309,1.15,2.880498838918063,15.462748,149.345,88.842,1.338,91.77,169945.73333333334,528.3066666666667,0.0982799178252654,0.0813628559042781,Asia,Southern Asia,Northern,Lower-Middle income,0.3076923076923077,0,-0.9510565162951536,0.30901699437494723,3.1445832202863455,7.199528969337171,11.979845595115147,6.1322216463241865,0.09827991782526543,0.0813628559042781,1738.2297813755438,15.46343836396608,169945.73333333334,528.3066666666667,304872990.96666664,149.2512,51.26064626168066,0,0,2,11,0,2
Afghanistan,AFG,2015,Bakery Items,191023.6,452.441,338947549.0,22.655,1408.1,8.45,19.9712,14.961484,6.78,5.0,5.0,0.0,0.0,1.0,0.93,2.368508393727267,14.183406,153.62,113.273,1.408,91.13,176315.53333333333,488.23766666666666,0.1159709833950069,0.0952771336227047,Asia,Southern Asia,Northern,Lower-Middle income,0.38461538461538464,0,-2.4492935982947064e-16,1.0,3.1635745090831113,7.250706481701059,12.160157494546818,6.116865161863328,0.1159709833950069,0.09527713362270473,1774.375255204069,14.182878700777955,176315.53333333333,488.23766666666666,312334852.56666666,153.60090000000002,61.26846977037394,0,0,2,11,0,2
Afghanistan,AFG,2016,Bakery Items,179650.9,428.842,338397657.7,23.108,1475.7,7.88,18.5583,14.644325,7.16,6.0,6.0,0.0,0.9511,0.309,0.914,2.3870851746359185,12.576345,165.444,138.647,1.476,91.67,176726.96666666667,446.91366666666664,0.1120203500018238,0.1030996588524073,Asia,Southern Asia,Northern,Lower-Middle income,0.46153846153846156,0,0.9510565162951535,0.30901699437494773,3.1825437356207975,7.2975651474797285,12.098776368605971,6.063417699303842,0.11202035000182387,0.10309965885240739,1883.6402027487754,12.575836332323762,176726.96666666667,446.91366666666664,318201327.1666667,165.45328,57.50481336214026,0,0,2,11,0,2
Afghanistan,AFG,2017,Bakery Items,193218.2,501.553,335592925.8,23.57,1559.8,8.08,21.2794,14.238185,6.96,7.0,7.0,0.0,0.5878,-0.809,0.98,2.595785490186742,13.642652,163.943,164.989,1.56,91.09,187964.2333333333,460.9453333333333,0.1166887621672207,0.1028905180046559,Asia,Southern Asia,Northern,Lower-Middle income,0.5384615384615384,0,0.5877852522924734,-0.8090169943749472,3.201526186533088,7.352953789308901,12.17158057470479,6.219701107008199,0.11668876216722074,0.10289051800465596,1736.8598082375263,13.642323192006547,187964.2333333333,460.9453333333333,337646044.1666667,164.0472,59.41186661761592,0,0,2,11,0,2
Afghanistan,AFG,2018,Bakery Items,171267.2,412.303,305956535.7,24.041,1644.0,7.03,17.1498,12.726278,7.29,8.0,8.0,0.0,-0.5878,-0.809,0.965,2.4073669681059773,10.431762,175.149,192.331,1.644,92.49,181378.7666666667,447.566,0.0991386770573247,0.0835422380646709,Asia,Southern Asia,Northern,Lower-Middle income,0.6153846153846154,0,-0.5877852522924728,-0.8090169943749477,3.2205144815367093,7.405495663199472,12.050986027849694,6.024180980141234,0.09913867705732471,0.0835422380646709,1786.4280825517085,10.431869684099071,181378.7666666667,447.566,326649039.73333335,175.25889,52.060634512292296,0,0,2,11,0,2
Afghanistan,AFG,2019,Bakery Items,185401.0,404.406,315007719.2,24.522,1715.5,7.4,16.4915,12.845845,7.68,9.0,9.0,0.0,-0.9511,0.309,0.951,2.1812503708178492,9.61316,188.229,220.699,1.716,92.46,183295.46666666667,439.42066666666665,0.1047897710361504,0.0809145367891571,Asia,Southern Asia,Northern,Lower-Middle income,0.6923076923076923,0,-0.9510565162951538,0.309016994374947,3.2395408253117846,7.448042612897747,12.130281719542223,6.004889034105714,0.10478977103615048,0.08091453678915714,1699.061597294513,9.613266453185906,183295.46666666667,439.42066666666665,318852393.56666666,188.32896,55.11551533544333,0,0,2,11,0,2
