Country,ISO3,Year,Food Category,Continent,Hemisphere,Income_Group,Population (Million),GDP_Per_Capita_USD,Total Waste (Tons),Economic Loss (Million $),Carbon_Footprint_kgCO2e
Afghanistan,AFG,2024,Bakery Items,Asia,Northern,Lower-Middle income,27.07488,2048.3064,197130.1859555251,735.1879944218268,391852534.164822
Afghanistan,AFG,2024,Beverages,Asia,Northern,Lower-Middle income,27.07488,2048.3064,82352.10587099029,176.6546336002252,107206037.75528203
Afghanistan,AFG,2024,Dairy Products,Asia,Northern,Lower-Middle income,27.07488,2048.3064,301402.3473275591,892.0114503474709,1008335168.8396373
Afghanistan,AFG,2024,Frozen Food,Asia,Northern,Lower-Middle income,27.07488,2048.3064,66770.68075594008,351.9240693672319,208368491.3632519
Afghanistan,AFG,2024,Fruits & Vegetables,Asia,Northern,Lower-Middle income,27.07488,2048.3064,494851.1290759801,1084.7296276732534,1785662637.2299616
Afghanistan,AFG,2024,Grains & Cereals,Asia,Northern,Lower-Middle income,27.07488,2048.3064,357374.31567420595,332.92912832487406,517148994.81656355
Afghanistan,AFG,2024,Meat & Seafood,Asia,Northern,Lower-Middle income,27.07488,2048.3064,257116.43953196774,3379.8890772748277,6476678751.318044
Afghanistan,AFG,2024,Prepared Food,Asia,Northern,Lower-Middle income,27.07488,2048.3064,151741.0445790335,885.4551556437666,645638560.23052
Albania,ALB,2024,Bakery Items,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,26608.82946036115,109.24926709149038,96865619.77133761
Albania,ALB,2024,Beverages,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,13183.735309367552,93.34042383016383,96865619.77133761
Albania,ALB,2024,Dairy Products,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,35004.12870787854,134.06487257489064,127235636.49057004
Albania,ALB,2024,Frozen Food,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,13183.735309367552,93.34042383016383,96865619.77133761
Albania,ALB,2024,Fruits & Vegetables,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,65421.69122719731,185.85928976297257,239829498.4091522
Albania,ALB,2024,Grains & Cereals,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,45776.573563091064,93.34042383016383,103888519.09383301
Albania,ALB,2024,Meat & Seafood,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,31706.541759957276,424.3757156710453,744845897.148948
