feature,importance
Food Category_Enc,0.4773686407515994
Pop_MatFP,0.17650859093852436
Log_Population,0.13608654615190457
Population (Million),0.10519357635321636
Subregion_Enc,0.028467666129402276
Country_Enc,0.023595727662397793
Population_Material_Interaction,0.016198556277257456
GDP_Per_Capita_USD,0.012163185605308548
Log_GDP_PC,0.010242388671225972
FAO_Food_Price_Index,0.0057933513353616815
GDP_Per_Capita_Proxy,0.0030522977498638167
Material_Footprint_Per_Capita,0.0029762974253444907
Year_Population_Interaction,0.00066220760920459
Years_from_2010,0.0005664266757400864
Year_Trend,0.0004876598616937367
Year,0.0004031788763315091
Year_Norm,0.00010239226300640308
Year_Cycle_Cos,5.1619708769312347e-05
Year_Cycle,3.468381812223855e-05
Pandemic_Flag,2.300280008866154e-05
Year_Sin,2.2003335636790366e-05
Year_Cos,0.0
Continent_Enc,0.0
Pandemic_Indicator,0.0
Hemisphere_Enc,0.0
Income_Group_Enc,0.0
