Country,ISO3,Year,Food Category,Continent,Hemisphere,Income_Group,Population (Million),GDP_Per_Capita_USD,Total Waste (Tons),Economic Loss (Million $),Carbon_Footprint_kgCO2e,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Per_Capita_kgCO2e,Sustainability_Score
Afghanistan,AFG,2024,Bakery Items,Asia,Northern,Lower-Middle income,27.07488,2048.3064,210313.29927414446,715.7692549671265,415942934.06342447,7.767838648745423,26.4366547503489,15.362687999482342,84.33046923985444
Afghanistan,AFG,2024,Beverages,Asia,Northern,Lower-Middle income,27.07488,2048.3064,99032.7529110593,194.04042,85549539.98242493,3.6577356173345663,7.166806279473815,3.1597384727993227,84.33046923985444
Afghanistan,AFG,2024,Dairy Products,Asia,Northern,Lower-Middle income,27.07488,2048.3064,301846.65444565244,893.2938379816571,949338967.0384259,11.148586972339395,32.99345511343567,35.06345982100109,84.33046923985444
Afghanistan,AFG,2024,Frozen Food,Asia,Northern,Lower-Middle income,27.07488,2048.3064,68154.17916801592,375.60495000000003,224962659.56323832,2.5172476911445565,13.872820488955076,8.308906985487592,84.33046923985444
Afghanistan,AFG,2024,Fruits & Vegetables,Asia,Northern,Lower-Middle income,27.07488,2048.3064,474315.3019825342,1028.9393728869925,1735569709.9000225,17.518648355321766,38.00346937408374,64.10258179907068,84.33046923985444
Afghanistan,AFG,2024,Grains & Cereals,Asia,Northern,Lower-Middle income,27.07488,2048.3064,369449.3135128826,345.2522544161982,608539620.8485026,13.64546448637566,12.751755664889306,22.47617056284285,84.33046923985444
Afghanistan,AFG,2024,Meat & Seafood,Asia,Northern,Lower-Middle income,27.07488,2048.3064,258396.74590653734,2948.0719115974225,6677850596.739941,9.54378176030835,108.88587176000125,246.64377447803798,84.33046923985444
Afghanistan,AFG,2024,Prepared Food,Asia,Northern,Lower-Middle income,27.07488,2048.3064,164117.95971212053,896.9086130427805,773796599.1142709,6.061632026148243,33.12696540271944,28.579871789432527,84.33046923985444
Albania,ALB,2024,Bakery Items,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,25017.43671241679,81.178970454552,36427094.169627264,8.320009548843258,26.997562424607406,12.114501370057955,81.82874974209263
Albania,ALB,2024,Beverages,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,6469.225846648011,14.082216981329346,6260604.784322109,2.1514602569583325,4.68330073541832,2.0820794786398316,81.82874974209263
Albania,ALB,2024,Dairy Products,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,36523.1058824569,108.55788567954139,106944601.78592972,12.146431834266819,36.10292516530027,35.566397880185484,81.82874974209263
Albania,ALB,2024,Frozen Food,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,5683.933190098583,35.88372461800179,19457100.7273478,1.890296714256737,11.933793813562737,6.470817362515481,81.82874974209263
Albania,ALB,2024,Fruits & Vegetables,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,69883.72790927462,166.4601153270732,214021871.26561806,23.24112139055992,55.35937853838611,71.17691684645916,81.82874974209263
Albania,ALB,2024,Grains & Cereals,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,52596.856244644114,29.70993357718539,61329297.38357034,17.49205369139117,9.88058584495174,20.396187895696677,81.82874974209263
Albania,ALB,2024,Meat & Seafood,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,30155.850383325465,421.05264819054264,816192717.6236272,10.02888369527602,140.0288164523405,271.43992737491345,81.82874974209263
Albania,ALB,2024,Prepared Food,Europe,Northern,Upper-Middle income,3.0069,10752.622399999998,17694.516150397703,117.44003340634835,70711416.46394756,5.884637384149025,39.05684705389216,23.516384470367342,81.82874974209263
Algeria,DZA,2024,Bakery Items,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,312820.0919047196,1042.43234999884,571315522.733036,7.785189456761066,25.943133291673295,14.2183948511207,82.29237372126093
Algeria,DZA,2024,Beverages,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,161839.937732662,366.09468000000004,140502726.64667237,4.027729067041356,9.111040232608909,3.496707450840541,82.29237372126093
Algeria,DZA,2024,Dairy Products,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,454155.4343136854,1347.5605406684765,1504588695.3845868,11.302618311443258,33.536893521388244,37.44487119336866,82.29237372126093
Algeria,DZA,2024,Frozen Food,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,109977.43542132917,614.7559855008587,314607259.75351137,2.737021031834929,15.29950262357121,7.829666907711096,82.29237372126093
Algeria,DZA,2024,Fruits & Vegetables,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,807327.4645297161,1922.185755,3121313844.57457,20.09205107875477,47.837657046403216,77.6804951563844,82.29237372126093
Algeria,DZA,2024,Grains & Cereals,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,595868.918596904,541.9833619087206,969068872.2563034,14.82945802626128,13.488402005063246,24.1173280182496,82.29237372126093
Algeria,DZA,2024,Meat & Seafood,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,443970.8012405326,5935.235393795911,11817626370.98304,11.049152181632644,147.71088305046914,294.1066210521455,82.29237372126093
Algeria,DZA,2024,Prepared Food,Africa,Northern,Upper-Middle income,40.181436000000005,11195.480959999999,253386.96182886188,1904.761730315649,1302259957.7377455,6.3060703412606225,47.40402334838528,32.409492725390535,82.29237372126093
Angola,AGO,2024,Bakery Items,Africa,Southern,Upper-Middle income,25.316556,8740.504159999999,222678.71532882008,684.0749550933409,398966717.9829787,8.795774406630194,27.02085366956473,15.75912292268264,83.75390601619614
