feature,importance
Food Category_Enc,0.6373919856418947
Pop_MatFP,0.1134479099253207
Population (Million),0.08987363534084056
Log_Population,0.05218371948435948
Population_Material_Interaction,0.03391001171775589
Subregion_Enc,0.03147628174151297
Country_Enc,0.01750139901406129
GDP_Per_Capita_USD,0.011186752408461561
Log_GDP_PC,0.005484360853707723
GDP_Per_Capita_Proxy,0.003244073813750685
Year_Cycle_Cos,0.0008076338479219301
FAO_Food_Price_Index,0.0005947203272054297
Pandemic_Indicator,0.000541706976650287
Material_Footprint_Per_Capita,0.000530169807020432
Year_Population_Interaction,0.00043855512986107684
Year,0.0003401205813259512
Year_Cos,0.0002818913685359106
Pandemic_Flag,0.0002758111594863578
Year_Sin,0.00015037422674798158
Year_Trend,0.00013936922638666083
Year_Norm,9.887043678210767e-05
Continent_Enc,5.672397236089083e-05
Year_Cycle,4.392299804934119e-05
Years_from_2010,0.0
Hemisphere_Enc,0.0
Income_Group_Enc,0.0
