feature,importance
Economic Loss (Million $)_MA3,0.5472797003944447
Economic_Trend_3Y,0.2965875889332247
Carbon_Footprint_kgCO2e_MA3,0.09646915448011066
Economic_Loss_Per_Capita_USD,0.047151403084633656
Carbon_Per_Capita_kgCO2e,0.007963900042902913
FAO_Food_Price_Index,0.0013052337781529544
Population_Material_Interaction,0.00043035543447751044
Pop_MatFP,0.0003680783562112054
Economic_Intensity,0.0003349050623571213
Econ_GDP_Ratio,0.00025460559485324455
Pandemic_Flag,0.00019668860712141527
Year_Population_Interaction,0.00018309824835353845
Year_Sin,0.00017653051270061988
Pandemic_Indicator,0.00016846804616621683
GDP_Waste_PC,0.00013943754392901453
Total Waste (Tons)_MA3,0.00010204206027281096
GDP_Per_Capita_Proxy,9.00623171290497e-05
Year_Cycle,8.526367986699823e-05
Waste_Efficiency,8.26835224444129e-05
Waste_Trend_3Y,7.903993789691638e-05
Category_Waste_Share,7.891540294052177e-05
Cat_Waste_Share,6.539733096882512e-05
Category_Economic_Share,6.124923245235906e-05
Waste_Per_Capita_kg,5.6853984659224856e-05
Year_Norm,5.509160150495356e-05
Years_from_2010,4.557634942441742e-05
Year_Trend,3.38233043769091e-05
Year,3.3056664816248544e-05
Year_Cos,2.976289730714756e-05
Cat_Econ_Share,2.4185935265297754e-05
Log_GDP_PC,2.3696569153406677e-05
Material_Footprint_Per_Capita,1.4972469144631905e-05
Population (Million),1.0073824167953056e-05
Food Category_Encoded,4.714334425792397e-06
Log_Population,4.549946949490405e-06
Carbon_Intensity,3.510159087429143e-06
Country_Enc,2.4534301248372325e-06
Continent_Encoded,1.9875949195574427e-06
Hemisphere_Enc,1.8893310613900364e-06
Income_Group_Encoded,0.0
Hemisphere_Encoded,0.0
Country_Encoded,0.0
Year_Cycle_Cos,0.0
GDP_Per_Capita_USD,0.0
Food Category_Enc,0.0
Continent_Enc,0.0
Subregion_Enc,0.0
Income_Group_Enc,0.0
