feature,importance
Category_Waste_Share,24781064.903699625
Population (Million),4126834.464230901
Waste_Efficiency,3450170.402737491
Carbon_Per_Capita_kgCO2e,2886432.085464233
Waste_Trend,925716.4588390499
Category_Economic_Share,819495.0920495586
Economic_Loss_Per_Capita_USD,558389.3044495184
Country_Trend,479109.5725154228
GDP_Per_Capita_Proxy,451518.90043835534
Hemisphere_Encoded,203925.390134372
Country_Encoded,174650.31797667712
Population_Material_Interaction,170959.49556940648
Year_Cycle_Cos,145217.16908175597
Year_Population_Interaction,131498.02173909597
Economic_Trend,93488.62438411765
Material_Footprint_Per_Capita,88961.75698411379
Year_Cycle,20209.950609734733
Household Waste (%),14631.92915919103
Continent_Encoded,8890.839979924394
Economic_Intensity,8132.705520832957
Years_From_2018,7357.801556899337
Is_Pandemic_Year,5428.8365857939325
Avg Waste per Capita (Kg),4956.753426591269
Waste_Per_Capita_kg,3908.173206587193
Year_Trend,0.0
Is_Post_Pandemic,0.0
Food Category_Encoded,0.0
