feature,importance
Category_Economic_Share,10378.040127447188
GDP_Per_Capita_Proxy,2995.571873213714
Population (Million),2433.888350176827
Waste_Efficiency,843.0913335448691
Economic_Intensity,535.2564175132649
Population_Material_Interaction,270.9294193556599
Country_Trend,215.2126439065638
Category_Waste_Share,168.58245713753027
Waste_Trend,145.88977689606898
Economic_Trend,136.8168819834103
Material_Footprint_Per_Capita,117.12577519668233
Year_Population_Interaction,115.22117301914771
Is_Pandemic_Year,46.990686782683525
Year_Cycle_Cos,27.399335662227674
Food Category_Encoded,25.24473677446871
Year_Cycle,6.802745321882238
Years_From_2018,6.380546758863141
Year_Trend,5.387619698331279
Is_Post_Pandemic,2.5657388212619745
