feature,importance
Category_Waste_Share,10138.906288592605
Waste_Efficiency,3503.3496858612452
Population (Million),2595.9870940594305
GDP_Per_Capita_Proxy,440.8020539265148
Country_Trend,248.98915769497063
Waste_Trend,224.39943601005547
Population_Material_Interaction,210.11206617153627
Category_Economic_Share,146.68688764942618
Material_Footprint_Per_Capita,119.72857245734505
Year_Population_Interaction,102.99639538442497
Economic_Trend,45.03232694176934
Economic_Intensity,41.71313842487823
Is_Pandemic_Year,33.38698763326601
Year_Cycle_Cos,30.523022961126866
Food Category_Encoded,25.904034719053417
Year_Trend,12.186000775202492
Years_From_2018,10.811036409702632
Year_Cycle,9.730456913243394
Is_Post_Pandemic,2.341610832596304
